name,image,type
Jungkook,jungkook.jpg,bf
Kate,kate.jpg,bf
PSY,psy.jpg,bf
Minkyu,minkyu.png,bf
Junho,junho.png,bf
Yeosang,yeosang.png,bf
Seunghyun,seunghyun.png,bf
Seonghwa,seonghwa.png,bf
Donghun,donghun.png,bf
Hongjoong,hongjoong.png,bf
Mingi,mingi.png,bf
Jyp,jyp.png,bf
Jinyoung,jinyoung.png,bf
Sehun,sehun.jpg,bf
Jiyong,jiyong.png,bf
Yoongi <3,yoongi.png,bf
Namjoon,namjoon.png,bf
RM,rm.png,bf
Seokjin,seokjin.png,bf
Hoseok,hoseok.png,bf
Jimin,jimin.png,bf
Taehyung,taehyung.png,bf
Scoups,scoups.jpg,bf
Hongbin,hongbin.png,bf
Taeyong,taeyong.png,bf
Jaehyun,jaehyun.png,bf
Kook,kook.png,bf
Johnny,johnny.png,bf
Johnny,johnny2.png,bf
Hoshi,hoshi.png,bf
Renjun,renjun.png,bf
Woozi,woozi.png,bf
Hanse,hanse.png,bf
Jaemin,jaemin.png,bf
Leo,leo.jpg,bf
Hyunwoong,hyunwoong.png,bf
Seungri,seungri.png,bf
King Daniel,kingdaniel.png,bf
Hyuk,hyuk.jpg,bf
Yixing,yixing.png,bf
Taemin,taemin.png,bf
Baekhyun,baekhyun.jpg,bf
Yunho,yunho.png,bf
Xiao Ling,xiaoling.png,bf
Wooyoung,wooyoung.png,bf
Wonho,wonho.png,bf
San,san.png,bf
Booby,booby.png,bf
Jaebeom,jaebeom.png,bf
Jongho,jongho.png,bf
YG,yg.png,bf
Jay Park,jaypark.png,bf
Takuya,takuya.png,bf
Kai,kai.jpg,bf
Hyunjin,hyunjin.png,bf
Woojin,woojin.png,bf
Hyunsoo,hyunsoo.png,bf
Heath,heath.jpg,bf
